epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
71,32427,2.08198,1.29115,0.00393,0.5854,0.56646,0.52116,0.26848,2.22077,1.44387,0.00486,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703
72,32800.7,1.93757,1.23721,0.0038,0.58221,0.55906,0.51283,0.25773,2.2628,1.46257,0.0049,0.00127367,0.000424556,0.00127367,0.000424556,0.00127367,0.000424556,0.00127367,0.000424556
73,33159.2,1.92647,1.26319,0.00401,0.59974,0.56729,0.53199,0.27454,2.16852,1.44477,0.00483,0.00123123,0.000410409,0.00123123,0.000410409,0.00123123,0.000410409,0.00123123,0.000410409
74,33520.3,1.96191,1.27793,0.00401,0.60942,0.57233,0.54002,0.28633,2.13739,1.41811,0.00478,0.00118879,0.000396262,0.00118879,0.000396262,0.00118879,0.000396262,0.00118879,0.000396262
75,33882.5,1.98301,1.30022,0.00401,0.60427,0.56907,0.53057,0.27976,2.13866,1.43391,0.00493,0.00114634,0.000382115,0.00114634,0.000382115,0.00114634,0.000382115,0.00114634,0.000382115
76,34255.9,1.93735,1.29249,0.00396,0.61406,0.57628,0.54216,0.28441,2.16279,1.41847,0.00487,0.0011039,0.000367967,0.0011039,0.000367967,0.0011039,0.000367967,0.0011039,0.000367967
77,34618.3,1.9671,1.31416,0.00409,0.60721,0.57311,0.54248,0.28444,2.14859,1.41319,0.00488,0.00106146,0.00035382,0.00106146,0.00035382,0.00106146,0.00035382,0.00106146,0.00035382
78,34980.5,1.93905,1.25936,0.00389,0.60797,0.57072,0.54267,0.28646,2.16086,1.41383,0.00477,0.00101902,0.000339673,0.00101902,0.000339673,0.00101902,0.000339673,0.00101902,0.000339673
79,35340.5,1.93165,1.30202,0.00399,0.61318,0.56315,0.52788,0.27836,2.21148,1.42535,0.00488,0.000976579,0.000325526,0.000976579,0.000325526,0.000976579,0.000325526,0.000976579,0.000325526
80,35718.1,1.9767,1.27488,0.004,0.60094,0.55638,0.53006,0.27555,2.21143,1.42299,0.00488,0.000934137,0.000311379,0.000934137,0.000311379,0.000934137,0.000311379,0.000934137,0.000311379
